null,Rank,Pokemon,Usage%,Raw,Raw%,Real,Real%
 ,1.0, Vullaby            , 71.36663% ,27346.0, 38.628% ,21544.0, 38.667% 
 ,2.0, Mienfoo            , 46.22341% ,21079.0, 29.775% ,18038.0, 32.374% 
 ,3.0, Onix               , 39.34425% ,13701.0, 19.353% ,11610.0, 20.837% 
 ,4.0, Pawniard           , 38.45730% ,16130.0, 22.784% ,13263.0, 23.804% 
 ,5.0, Timburr            , 36.57267% ,9604.0, 13.566% ,7894.0, 14.168% 
 ,6.0, Ferroseed          , 32.25127% ,13179.0, 18.616% ,11633.0, 20.879% 
 ,7.0, Abra               , 29.24129% ,23768.0, 33.573% ,17099.0, 30.689% 
 ,8.0, Foongus            , 26.93718% ,9806.0, 13.851% ,7942.0, 14.254% 
 ,9.0, Mareanie           , 25.29903% ,8566.0, 12.100% ,6934.0, 12.445% 
 ,10.0, Porygon            , 22.39888% ,7306.0, 10.320% ,5411.0,  9.712% 
 ,11.0, Grookey            , 21.03394% ,14233.0, 20.105% ,11106.0, 19.933% 
 ,12.0, Koffing            , 20.56397% ,6191.0,  8.745% ,5225.0,  9.378% 
 ,13.0, Staryu             , 19.49650% ,6980.0,  9.860% ,5680.0, 10.194% 
 ,14.0, Diglett            , 17.32735% ,8813.0, 12.449% ,6623.0, 11.887% 
 ,15.0, Spritzee           ,  9.75570% ,4447.0,  6.282% ,3503.0,  6.287% 
 ,16.0, Vulpix             ,  9.44793% ,4403.0,  6.219% ,3538.0,  6.350% 
 ,17.0, Trapinch           ,  9.36614% ,5510.0,  7.783% ,4404.0,  7.904% 
 ,18.0, Munchlax           ,  7.88846% ,4348.0,  6.142% ,3321.0,  5.960% 
 ,19.0, Ponyta-Galar       ,  6.89800% ,3719.0,  5.253% ,2735.0,  4.909% 
 ,20.0, Ponyta             ,  6.35886% ,6046.0,  8.540% ,4859.0,  8.721% 
 ,21.0, Scraggy            ,  6.23266% ,5171.0,  7.304% ,3937.0,  7.066% 
 ,22.0, Magnemite          ,  5.54567% ,4740.0,  6.695% ,3758.0,  6.745% 
 ,23.0, Dewpider           ,  5.30105% ,4058.0,  5.732% ,3651.0,  6.553% 
 ,24.0, Mudbray            ,  5.21331% ,4140.0,  5.848% ,3399.0,  6.100% 
 ,25.0, Tyrunt             ,  4.85805% ,3012.0,  4.255% ,2224.0,  3.992% 
 ,26.0, Slowpoke           ,  4.85518% ,1813.0,  2.561% ,1539.0,  2.762% 
 ,27.0, Frillish           ,  4.12494% ,2377.0,  3.358% ,1894.0,  3.399% 
 ,28.0, Sandshrew-Alola    ,  3.90895% ,1536.0,  2.170% ,1215.0,  2.181% 
 ,29.0, Snover             ,  3.63563% ,1088.0,  1.537% ,897.0,  1.610% 
 ,30.0, Natu               ,  3.55074% ,3466.0,  4.896% ,2802.0,  5.029% 
 ,31.0, Drilbur            ,  2.90618% ,3552.0,  5.017% ,2775.0,  4.980% 
 ,32.0, Larvesta           ,  2.87027% ,2084.0,  2.944% ,1687.0,  3.028% 
 ,33.0, Croagunk           ,  2.57435% ,3114.0,  4.399% ,2515.0,  4.514% 
 ,34.0, Magby              ,  2.54490% ,2340.0,  3.305% ,1770.0,  3.177% 
 ,35.0, Wingull            ,  2.52907% ,858.0,  1.212% ,704.0,  1.264% 
 ,36.0, Charmander         ,  2.47828% ,1684.0,  2.379% ,1241.0,  2.227% 
 ,37.0, Chinchou           ,  2.33297% ,4485.0,  6.335% ,3658.0,  6.565% 
 ,38.0, Honedge            ,  2.33079% ,2310.0,  3.263% ,1829.0,  3.283% 
 ,39.0, Dwebble            ,  2.31543% ,2694.0,  3.805% ,2090.0,  3.751% 
 ,40.0, Archen             ,  2.29557% ,5744.0,  8.114% ,4557.0,  8.179% 
 ,41.0, Elekid             ,  2.19592% ,3603.0,  5.089% ,2721.0,  4.884% 
 ,42.0, Carvanha           ,  1.66415% ,5300.0,  7.487% ,4067.0,  7.299% 
 ,43.0, Scorbunny          ,  1.51228% ,5487.0,  7.751% ,4284.0,  7.689% 
 ,44.0, Amaura             ,  1.13773% ,3333.0,  4.708% ,2703.0,  4.851% 
 ,45.0, Farfetch'd-Galar   ,  1.08934% ,4329.0,  6.115% ,3304.0,  5.930% 
 ,46.0, Woobat             ,  1.08638% ,714.0,  1.009% ,484.0,  0.869% 
 ,47.0, Diglett-Alola      ,  1.00750% ,647.0,  0.914% ,572.0,  1.027% 
 ,48.0, Tirtouga           ,  1.00211% ,1743.0,  2.462% ,1402.0,  2.516% 
 ,49.0, Zigzagoon          ,  0.99044% ,2180.0,  3.079% ,1648.0,  2.958% 
 ,50.0, Meowth             ,  0.97185% ,3441.0,  4.861% ,2863.0,  5.138% 
 ,51.0, Shellder           ,  0.86422% ,2889.0,  4.081% ,2160.0,  3.877% 
 ,52.0, Wimpod             ,  0.74930% ,156.0,  0.220% ,140.0,  0.251% 
 ,53.0, Eevee              ,  0.63040% ,1112.0,  1.571% ,854.0,  1.533% 
 ,54.0, Cottonee           ,  0.61642% ,2557.0,  3.612% ,2106.0,  3.780% 
 ,55.0, Lileep             ,  0.60913% ,1944.0,  2.746% ,1557.0,  2.794% 
 ,56.0, Corphish           ,  0.50520% ,2490.0,  3.517% ,1935.0,  3.473% 
 ,57.0, Axew               ,  0.46568% ,2696.0,  3.808% ,2001.0,  3.591% 
 ,58.0, Wynaut             ,  0.45308% ,1139.0,  1.609% ,895.0,  1.606% 
 ,59.0, Shellos            ,  0.43413% ,670.0,  0.946% ,517.0,  0.928% 
 ,60.0, Bunnelby           ,  0.43215% ,2159.0,  3.050% ,1633.0,  2.931% 
 ,61.0, Hippopotas         ,  0.38683% ,1019.0,  1.439% ,907.0,  1.628% 
 ,62.0, Gossifleur         ,  0.37558% ,598.0,  0.845% ,454.0,  0.815% 
 ,63.0, Tentacool          ,  0.35947% ,1297.0,  1.832% ,1053.0,  1.890% 
 ,64.0, Cufant             ,  0.33093% ,1149.0,  1.623% ,859.0,  1.542% 
 ,65.0, Helioptile         ,  0.32694% ,818.0,  1.155% ,606.0,  1.088% 
 ,66.0, Pumpkaboo-Super    ,  0.30461% ,611.0,  0.863% ,481.0,  0.863% 
 ,67.0, Skorupi            ,  0.30176% ,386.0,  0.545% ,308.0,  0.553% 
 ,68.0, Zorua              ,  0.29895% ,1597.0,  2.256% ,832.0,  1.493% 
 ,69.0, Skrelp             ,  0.29156% ,496.0,  0.701% ,394.0,  0.707% 
 ,70.0, Cubone             ,  0.28948% ,1598.0,  2.257% ,1232.0,  2.211% 
 ,71.0, Krabby             ,  0.28152% ,2082.0,  2.941% ,1582.0,  2.839% 
 ,72.0, Kabuto             ,  0.27256% ,530.0,  0.749% ,451.0,  0.809% 
 ,73.0, Stufful            ,  0.25965% ,354.0,  0.500% ,270.0,  0.485% 
 ,74.0, Squirtle           ,  0.25849% ,1303.0,  1.841% ,1044.0,  1.874% 
 ,75.0, Omanyte            ,  0.25469% ,1668.0,  2.356% ,1306.0,  2.344% 
