null,Rank,Pokemon,Usage%,Raw,Raw%,Real,Real%
 ,1.0, Piloswine          , 50.47175% ,2062.0, 20.883% ,1788.0, 22.928% 
 ,2.0, Golbat             , 46.64204% ,2827.0, 28.631% ,2300.0, 29.494% 
 ,3.0, Pikachu            , 45.06566% ,2291.0, 23.202% ,1812.0, 23.236% 
 ,4.0, Gurdurr            , 43.68589% ,2612.0, 26.453% ,2130.0, 27.314% 
 ,5.0, Thwackey           , 38.20627% ,2648.0, 26.818% ,1995.0, 25.583% 
 ,6.0, Raboot             , 35.98132% ,2492.0, 25.238% ,1918.0, 24.596% 
 ,7.0, Kadabra            , 31.49888% ,2744.0, 27.790% ,2000.0, 25.647% 
 ,8.0, Ferroseed          , 26.76307% ,994.0, 10.067% ,880.0, 11.285% 
 ,9.0, Tangela            , 26.55078% ,1734.0, 17.561% ,1379.0, 17.684% 
 ,10.0, Hattrem            , 21.52576% ,1179.0, 11.940% ,948.0, 12.157% 
 ,11.0, Corsola-Galar      , 20.63670% ,2680.0, 27.142% ,2192.0, 28.109% 
 ,12.0, Wartortle          , 19.89410% ,1467.0, 14.857% ,1127.0, 14.452% 
 ,13.0, Electabuzz         , 19.68608% ,1853.0, 18.766% ,1442.0, 18.492% 
 ,14.0, Duosion            , 15.24838% ,868.0,  8.791% ,657.0,  8.425% 
 ,15.0, Mareanie           , 14.40791% ,735.0,  7.444% ,620.0,  7.951% 
 ,16.0, Magmar             , 13.96329% ,1416.0, 14.341% ,1119.0, 14.350% 
 ,17.0, Mr. Mime-Galar     , 12.64077% ,1437.0, 14.553% ,1051.0, 13.478% 
 ,18.0, Slowpoke           ,  8.89509% ,301.0,  3.048% ,249.0,  3.193% 
 ,19.0, Koffing            ,  8.40360% ,230.0,  2.329% ,205.0,  2.629% 
 ,20.0, Krokorok           ,  8.18580% ,962.0,  9.743% ,772.0,  9.900% 
 ,21.0, Vullaby            ,  7.95363% ,392.0,  3.970% ,320.0,  4.104% 
 ,22.0, Marshtomp          ,  7.42043% ,579.0,  5.864% ,479.0,  6.142% 
 ,23.0, Gabite             ,  7.06513% ,1011.0, 10.239% ,795.0, 10.195% 
 ,24.0, Klang              ,  6.16574% ,949.0,  9.611% ,742.0,  9.515% 
 ,25.0, Lampent            ,  5.37556% ,503.0,  5.094% ,396.0,  5.078% 
 ,26.0, Clefairy           ,  4.32636% ,1095.0, 11.090% ,885.0, 11.349% 
 ,27.0, Ivysaur            ,  4.13708% ,804.0,  8.143% ,654.0,  8.387% 
 ,28.0, Vulpix             ,  4.11968% ,645.0,  6.532% ,597.0,  7.656% 
 ,29.0, Roselia            ,  4.01427% ,437.0,  4.426% ,358.0,  4.591% 
 ,30.0, Linoone-Galar      ,  3.48901% ,582.0,  5.894% ,497.0,  6.373% 
 ,31.0, Fraxure            ,  3.43320% ,921.0,  9.328% ,625.0,  8.015% 
 ,32.0, Drakloak           ,  3.11883% ,954.0,  9.662% ,718.0,  9.207% 
 ,33.0, Machoke            ,  3.00899% ,508.0,  5.145% ,413.0,  5.296% 
 ,34.0, Togetic            ,  2.76057% ,649.0,  6.573% ,524.0,  6.720% 
 ,35.0, Hakamo-o           ,  2.22103% ,257.0,  2.603% ,183.0,  2.347% 
 ,36.0, Impidimp           ,  2.10431% ,16.0,  0.162% ,11.0,  0.141% 
 ,37.0, Rufflet            ,  1.80911% ,172.0,  1.742% ,127.0,  1.629% 
 ,38.0, Dusclops           ,  1.65539% ,1370.0, 13.875% ,1121.0, 14.375% 
 ,39.0, Carkol             ,  1.52925% ,563.0,  5.702% ,493.0,  6.322% 
 ,40.0, Charjabug          ,  1.37881% ,409.0,  4.142% ,347.0,  4.450% 
 ,41.0, Zweilous           ,  1.34215% ,279.0,  2.826% ,229.0,  2.937% 
 ,42.0, Porygon            ,  1.33900% ,71.0,  0.719% ,55.0,  0.705% 
 ,43.0, Metang             ,  1.22503% ,472.0,  4.780% ,401.0,  5.142% 
 ,44.0, Archen             ,  1.20605% ,68.0,  0.689% ,55.0,  0.705% 
 ,45.0, Combusken          ,  1.17740% ,1131.0, 11.454% ,858.0, 11.003% 
 ,46.0, Seadra             ,  0.88961% ,295.0,  2.988% ,225.0,  2.885% 
 ,47.0, Dartrix            ,  0.75876% ,203.0,  2.056% ,159.0,  2.039% 
 ,48.0, Lairon             ,  0.73597% ,470.0,  4.760% ,378.0,  4.847% 
 ,49.0, Drilbur            ,  0.56673% ,66.0,  0.668% ,57.0,  0.731% 
 ,50.0, Cutiefly           ,  0.53946% ,255.0,  2.583% ,232.0,  2.975% 
 ,51.0, Poipole            ,  0.49765% ,262.0,  2.653% ,205.0,  2.629% 
 ,52.0, Palpitoad          ,  0.44734% ,94.0,  0.952% ,85.0,  1.090% 
 ,53.0, Dwebble            ,  0.43905% ,226.0,  2.289% ,197.0,  2.526% 
 ,54.0, Trapinch           ,  0.33236% ,51.0,  0.517% ,39.0,  0.500% 
 ,55.0, Gastly             ,  0.32655% ,224.0,  2.269% ,185.0,  2.372% 
 ,56.0, Morgrem            ,  0.25003% ,502.0,  5.084% ,409.0,  5.245% 
 ,57.0, Dottler            ,  0.19900% ,138.0,  1.398% ,112.0,  1.436% 
 ,58.0, Shelmet            ,  0.18829% ,28.0,  0.284% ,23.0,  0.295% 
 ,59.0, Salandit           ,  0.18151% ,47.0,  0.476% ,31.0,  0.398% 
 ,60.0, Stunky             ,  0.18086% ,21.0,  0.213% ,20.0,  0.256% 
 ,61.0, Nuzleaf            ,  0.17383% ,67.0,  0.679% ,52.0,  0.667% 
 ,62.0, Torracat           ,  0.15028% ,295.0,  2.988% ,255.0,  3.270% 
 ,63.0, Wailmer            ,  0.11180% ,37.0,  0.375% ,28.0,  0.359% 
 ,64.0, Corvisquire        ,  0.10330% ,144.0,  1.458% ,114.0,  1.462% 
 ,65.0, Charmeleon         ,  0.10322% ,321.0,  3.251% ,252.0,  3.232% 
 ,66.0, Grovyle            ,  0.08888% ,379.0,  3.838% ,289.0,  3.706% 
 ,67.0, Zorua              ,  0.07783% ,57.0,  0.577% ,16.0,  0.205% 
 ,68.0, Krabby             ,  0.07500% ,17.0,  0.172% ,13.0,  0.167% 
 ,69.0, Shelgon            ,  0.05452% ,113.0,  1.144% ,73.0,  0.936% 
 ,70.0, Marill             ,  0.05227% ,201.0,  2.036% ,159.0,  2.039% 
 ,71.0, Carvanha           ,  0.05165% ,68.0,  0.689% ,51.0,  0.654% 
 ,72.0, Dragonair          ,  0.05127% ,420.0,  4.254% ,329.0,  4.219% 
 ,73.0, Gothorita          ,  0.04942% ,44.0,  0.446% ,27.0,  0.346% 
 ,74.0, Sealeo             ,  0.04906% ,94.0,  0.952% ,73.0,  0.936% 
 ,75.0, Drizzile           ,  0.04764% ,132.0,  1.337% ,94.0,  1.205% 
 ,76.0, Munchlax           ,  0.04200% ,116.0,  1.175% ,92.0,  1.180% 
