Name,Raw count,Avg. weight,Viability Ceiling,Abilities,Items,Spreads,Moves,Teammates,Checks and Counters
Landorus-Therian, 856584                      , 0.00452981872172          , 89                  ,['Intimidate 100.000%'],"['Leftovers 52.539%', 'Choice Scarf 19.131%', 'Soft Sand  8.531%', 'Rocky Helmet  6.520%', 'Choice Band  3.915%', 'Focus Sash  3.767%', 'Custap Berry  2.483%', 'Other  3.114%']","['Jolly:0/252/0/0/4/252  9.315%', 'Impish:252/0/112/0/0/144  6.789%', 'Impish:252/4/252/0/0/0  5.747%', 'Jolly:0/252/4/0/0/252  5.437%', 'Jolly:4/252/0/0/0/252  5.364%', 'Impish:248/0/252/0/0/8  3.874%', 'Other 63.472%']","['Earthquake 97.023%', 'U-turn 82.190%', 'Stealth Rock 62.126%', 'Toxic 41.388%', 'Knock Off 26.317%', 'Stone Edge 25.293%', 'Defog 24.240%', 'Swords Dance 13.603%', 'Explosion 12.613%', 'Other 15.207%']","['Ferrothorn +11.573%', 'Heatran +9.965%', 'Slowking +9.220%', 'Tapu Fini +4.285%', 'Slowking-Galar +4.139%', 'Bisharp +3.588%', 'Regieleki +3.531%', 'Kartana +3.420%', 'Urshifu-Rapid-Strike +3.296%', 'Dragonite +2.994%', 'Tapu Koko +2.910%', 'Dragapult +2.203%']",[]
Dragapult, 667469                      , 0.00441347981304          , 93                  ,"['Infiltrator 85.187%', 'Clear Body 14.226%', 'Cursed Body  0.587%']","['Choice Specs 55.542%', 'Leftovers 10.970%', 'Choice Band  9.453%', 'Heavy-Duty Boots  8.783%', 'Life Orb  7.042%', 'Weakness Policy  5.008%', 'Other  3.203%']","['Timid:0/0/0/252/4/252 46.814%', 'Modest:0/0/0/252/4/252 11.464%', 'Adamant:4/252/0/0/0/252  8.501%', 'Adamant:0/252/0/0/4/252  6.388%', 'Timid:0/0/4/252/0/252  2.214%', 'Jolly:0/252/0/0/4/252  1.871%', 'Other 22.747%']","['U-turn 66.286%', 'Draco Meteor 63.686%', 'Shadow Ball 60.131%', 'Dragon Darts 35.467%', 'Flamethrower 30.849%', 'Hex 23.412%', 'Phantom Force 16.583%', 'Dragon Dance 16.108%', 'Fire Blast 13.221%', 'Sucker Punch 13.122%', 'Hydro Pump 11.302%', 'Thunder Wave 10.549%', 'Steel Wing  9.327%', 'Substitute  9.164%', 'Will-O-Wisp  8.805%', 'Other 11.988%']","['Bisharp +9.466%', 'Cloyster +5.784%', 'Blissey +5.646%', 'Garchomp +4.754%', 'Tapu Lele +4.725%', 'Swampert +4.556%', 'Ninetales-Alola +4.515%', 'Mew +4.409%', 'Volcarona +4.038%', 'Zapdos +3.017%', 'Melmetal +2.891%', 'Landorus-Therian +2.826%']",[]
Clefable, 421914                      , 0.00631816562612          , 90                  ,"['Magic Guard 59.898%', 'Unaware 40.079%', 'Cute Charm  0.024%']","['Leftovers 58.559%', 'Heavy-Duty Boots 13.891%', 'Sticky Barb 13.531%', 'Life Orb  9.949%', 'Other  4.070%']","['Bold:252/0/252/0/4/0 13.471%', 'Bold:252/0/252/0/0/4  9.538%', 'Bold:248/0/252/0/8/0  6.504%', 'Bold:252/0/248/0/0/8  6.302%', 'Calm:252/0/160/0/96/0  5.388%', 'Bold:252/0/252/4/0/0  5.175%', 'Other 53.622%']","['Moonblast 99.029%', 'Soft-Boiled 79.374%', 'Calm Mind 39.001%', 'Stealth Rock 24.960%', 'Wish 23.931%', 'Thunder Wave 18.996%', 'Protect 18.604%', 'Aromatherapy 17.200%', 'Trick 15.382%', 'Knock Off 15.373%', 'Heal Bell 12.445%', 'Flamethrower  8.852%', 'Teleport  6.626%', 'Thunder  5.543%', 'Other 14.684%']","['Toxapex +11.695%', 'Zapdos +11.549%', 'Skarmory +10.174%', 'Chansey +8.079%', 'Gastrodon +4.062%', 'Hippowdon +3.630%', 'Corviknight +3.603%', 'Tornadus-Therian +3.539%', 'Reuniclus +3.485%', 'Starmie +3.278%', 'Excadrill +3.189%', 'Hydreigon +2.283%']",[]
Corviknight, 497933                      , 0.00490034057643          , 93                  ,"['Pressure 98.423%', 'Mirror Armor  1.524%', 'Unnerve  0.053%']","['Leftovers 63.624%', 'Rocky Helmet 21.188%', 'Shed Shell 13.894%', 'Other  1.293%']","['Impish:248/0/252/0/8/0 11.567%', 'Impish:252/0/252/0/4/0 10.532%', 'Relaxed:252/0/168/0/88/0  6.920%', 'Bold:252/0/252/0/4/0  6.678%', 'Relaxed:252/0/240/0/16/0  6.191%', 'Careful:252/0/4/0/252/0  5.742%', 'Other 52.370%']","['Roost 99.852%', 'Defog 92.080%', 'Brave Bird 62.050%', 'U-turn 58.550%', 'Body Press 46.304%', 'Iron Defense 16.813%', 'Bulk Up  7.726%', 'Other 16.625%']","['Blissey +18.478%', 'Toxapex +11.131%', 'Garchomp +9.594%', 'Tapu Lele +4.731%', 'Tyranitar +4.408%', 'Tangrowth +4.400%', 'Quagsire +4.369%', 'Clefable +3.935%', 'Dracozolt +3.570%', 'Kyurem +3.263%', 'Slowking-Galar +3.187%', 'Gastrodon +2.807%']","['Heatran 55.242 (85.34±7.52)', '(6.9% KOed / 78.5% switched out)']"
Heatran, 530483                      , 0.00446644079879          , 89                  ,"['Flash Fire 89.183%', 'Flame Body 10.817%']","['Leftovers 78.429%', 'Air Balloon 13.622%', 'Power Herb  2.832%', 'Choice Specs  2.674%', 'Other  2.442%']","['Calm:252/0/0/4/252/0 11.297%', 'Calm:252/0/0/0/128/128 10.736%', 'Calm:252/0/108/0/148/0  6.597%', 'Calm:248/0/8/0/252/0  5.226%', 'Bold:248/0/252/0/8/0  4.740%', 'Timid:0/0/0/252/4/252  4.672%', 'Other 56.731%']","['Earth Power 94.387%', 'Magma Storm 89.352%', 'Taunt 62.997%', 'Toxic 54.450%', 'Stealth Rock 34.419%', 'Protect 21.477%', 'Lava Plume  9.158%', 'Flash Cannon  7.865%', 'Heavy Slam  6.341%', 'Other 19.554%']","['Landorus-Therian +16.307%', 'Rillaboom +14.502%', 'Kartana +7.556%', 'Zeraora +6.163%', 'Weavile +4.258%', 'Slowking +4.119%', 'Zarude +3.617%', 'Tapu Fini +2.520%', 'Rotom-Wash +2.047%', 'Clefable +1.326%', 'Blacephalon +1.158%', 'Slowbro +1.123%']","['Garchomp 56.316 (86.10±7.45)', '(8.1% KOed / 77.9% switched out)']"
Garchomp, 554607                      , 0.00417259742455          , 93                  ,"['Rough Skin 92.988%', 'Sand Veil  7.012%']","['Life Orb 27.414%', 'Leftovers 26.960%', 'Rocky Helmet 25.902%', 'Lum Berry  8.518%', 'Soft Sand  5.504%', 'Bright Powder  2.059%', 'Other  3.643%']","['Jolly:0/252/0/0/4/252 28.397%', 'Jolly:0/252/4/0/0/252 13.307%', 'Adamant:0/252/0/0/4/252  9.548%', 'Jolly:252/0/200/0/0/56  7.376%', 'Jolly:4/252/0/0/0/252  5.363%', 'Impish:252/0/44/0/196/16  3.808%', 'Other 32.202%']","['Earthquake 98.351%', 'Swords Dance 57.839%', 'Stealth Rock 50.241%', 'Scale Shot 43.349%', 'Stone Edge 35.837%', 'Toxic 30.868%', 'Fire Fang 20.771%', 'Fire Blast 19.238%', 'Rest 16.126%', 'Substitute  4.995%', 'Dragon Tail  4.698%', 'Other 17.687%']","['Corviknight +10.097%', 'Blissey +9.606%', 'Cloyster +6.857%', 'Volcarona +6.820%', 'Dragapult +6.052%', 'Weavile +5.532%', 'Tapu Lele +5.212%', 'Melmetal +5.138%', 'Mew +4.899%', 'Bisharp +4.204%', 'Hawlucha +2.617%', 'Shedinja +2.536%']",[]
Ferrothorn, 652197                      , 0.00326241052596          , 90                  ,"['Iron Barbs 99.938%', 'Anticipation  0.062%']","['Leftovers 69.337%', 'Rocky Helmet 19.401%', 'Shed Shell  9.149%', 'Other  2.112%']","['Impish:248/0/252/0/8/0 12.684%', 'Relaxed:248/8/252/0/0/0 11.610%', 'Careful:252/0/80/0/176/0 10.294%', 'Impish:252/0/4/0/252/0  7.325%', 'Impish:252/0/88/0/168/0  4.682%', 'Careful:252/0/92/0/164/0  3.901%', 'Other 49.503%']","['Leech Seed 85.170%', 'Knock Off 84.056%', 'Spikes 71.185%', 'Gyro Ball 38.525%', 'Stealth Rock 35.253%', 'Body Press 25.176%', 'Power Whip 24.451%', 'Protect 13.334%', 'Iron Head 11.668%', 'Other 11.182%']","['Landorus-Therian +21.230%', 'Pelipper +11.730%', 'Urshifu-Rapid-Strike +10.984%', 'Barraskewda +6.698%', 'Regieleki +6.635%', 'Tapu Fini +6.321%', 'Zapdos +4.930%', 'Weavile +4.781%', 'Thundurus-Therian +4.737%', 'Volcarona +4.507%', 'Slowbro +4.185%', 'Dragonite +4.111%']",[]
Rillaboom, 538351                      , 0.00327311202385          , 89                  ,"['Grassy Surge 99.758%', 'Overgrow  0.242%']","['Choice Band 65.151%', 'Life Orb 30.638%', 'Other  4.211%']","['Adamant:0/252/0/0/4/252 45.794%', 'Adamant:0/252/4/0/0/252 23.598%', 'Jolly:0/252/0/0/4/252 11.299%', 'Adamant:4/252/0/0/0/252  9.204%', 'Adamant:24/188/4/0/76/216  1.864%', 'Adamant:0/252/116/0/0/140  1.265%', 'Other  6.976%']","['Grassy Glide 99.866%', 'Knock Off 82.671%', 'Wood Hammer 62.417%', 'U-turn 61.207%', 'Superpower 36.127%', 'Swords Dance 33.110%', 'Drain Punch 17.008%', 'Other  7.594%']","['Heatran +19.366%', 'Hawlucha +11.362%', 'Kartana +6.549%', 'Zeraora +6.460%', 'Zapdos-Galar +5.519%', 'Bisharp +3.868%', 'Blacephalon +2.969%', 'Regieleki +2.594%', 'Volcarona +2.584%', 'Victini +2.039%', 'Moltres-Galar +1.766%', 'Kommo-o +1.684%']",[]
Toxapex, 380996                      , 0.00434094477781          , 90                  ,"['Regenerator 99.755%', 'Merciless  0.226%', 'Limber  0.019%']","['Black Sludge 37.320%', 'Rocky Helmet 29.181%', 'Shed Shell 25.069%', 'Payapa Berry  2.823%', 'Eject Button  2.342%', 'Other  3.264%']","['Bold:252/0/252/0/4/0 11.685%', 'Relaxed:248/0/252/0/8/0  8.171%', 'Impish:248/0/252/0/8/0  7.818%', 'Relaxed:252/0/240/0/16/0  4.862%', 'Impish:252/0/144/0/112/0  4.492%', 'Bold:248/0/252/0/8/0  4.082%', 'Other 58.890%']","['Recover 98.689%', 'Knock Off 78.102%', 'Haze 75.105%', 'Scald 67.431%', 'Toxic Spikes 35.178%', 'Toxic 29.444%', 'Other 16.051%']","['Clefable +18.902%', 'Corviknight +16.259%', 'Skarmory +15.623%', 'Blissey +12.394%', 'Chansey +9.854%', 'Mandibuzz +6.655%', 'Reuniclus +6.505%', 'Quagsire +6.100%', 'Kyurem +5.353%', 'Hippowdon +5.091%', 'Ditto +4.335%', 'Shedinja +4.260%']","['Garchomp 52.050 (80.34±7.07)', '(4.3% KOed / 76.0% switched out)']"
Slowking, 100484                      , 0.0124702481697           , 89                  ,"['Regenerator 99.977%', 'Oblivious  0.023%', 'Own Tempo  0.000%']","['Heavy-Duty Boots 91.352%', 'Assault Vest  3.404%', 'Leftovers  3.053%', 'Other  2.192%']","['Sassy:252/0/4/0/252/0 12.486%', 'Relaxed:252/0/252/4/0/0  7.212%', 'Calm:248/0/20/0/240/0  6.063%', 'Calm:248/0/236/0/24/0  5.600%', 'Sassy:252/0/60/0/196/0  5.309%', 'Calm:252/0/4/0/252/0  4.508%', 'Other 58.822%']","['Scald 97.601%', 'Future Sight 94.913%', 'Teleport 92.800%', 'Slack Off 92.416%', 'Flamethrower  3.716%', 'Other 18.554%']","['Landorus-Therian +27.719%', 'Bisharp +11.773%', 'Tapu Koko +7.661%', 'Heatran +7.591%', 'Tyranitar +6.753%', 'Dragonite +6.573%', 'Dracozolt +5.350%', 'Clefable +4.599%', 'Sylveon +4.185%', 'Zeraora +4.146%', 'Excadrill +3.840%', 'Ferrothorn +2.991%']",[]
